CALL DETAIL RECORD - CONFIDENTIAL
Subscriber,+918765432109
LSA,Karnataka
Requisition Ref,NODAL/LEA/2026/04412 dated 21-03-2026
Generated On,02-04-2026 11:41:07

Calling Party,Called Party,Call Date Time,Duration(Sec),Call Type,IMEI,IMSI,Cell ID,Site Name,Latitude,Longitude
8765432109,7974652039,22/02/2026 04:17:00,128,IN,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,7344811387,22/02/2026 06:42:00,47,IN,352099001761481,404450987654321,404-45-3310-31,BLR_Whitefield_S3,12.969800,77.750000
8765432109,9012345678,22/02/2026 07:02:00,128,OUT,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,9012345678,22/02/2026 10:14:00,128,OUT,352099001761481,404450987654321,404-45-1149-21,BLR_Koramangala_S1,12.935200,77.624500
8765432109,9650454450,22/02/2026 12:02:00,305,OUT,352099001761481,404450987654321,404-45-1149-22,BLR_Koramangala_S2,12.935200,77.624500
8765432109,7669452574,22/02/2026 12:40:00,22,OUT,352099001761481,404450987654321,404-45-2201-11,BLR_Indiranagar_S1,12.971600,77.641200
8765432109,7564809883,22/02/2026 16:06:00,8,IN,352099001761481,404450987654321,404-45-1149-21,BLR_Koramangala_S1,12.935200,77.624500
8765432109,8136263283,22/02/2026 17:37:00,22,IN,352099001761481,404450987654321,404-45-2201-11,BLR_Indiranagar_S1,12.971600,77.641200
8765432109,8228790238,22/02/2026 20:08:00,95,IN,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,9012345678,23/02/2026 00:02:00,210,OUT,352099001761481,404450987654321,404-45-4402-12,BLR_Majestic_S1,12.976700,77.571300
8765432109,7989533950,23/02/2026 00:24:00,128,IN,352099001761481,404450987654321,404-45-1149-22,BLR_Koramangala_S2,12.935200,77.624500
8765432109,9012345678,23/02/2026 02:22:00,14,IN,352099001761481,404450987654321,404-45-2201-11,BLR_Indiranagar_S1,12.971600,77.641200
8765432109,6090073265,23/02/2026 02:43:00,8,IN,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,9650454450,23/02/2026 02:48:00,0,SMS-OUT,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,9012345678,23/02/2026 03:45:00,0,SMS-OUT,352099001761481,404450987654321,404-45-1149-21,BLR_Koramangala_S1,12.935200,77.624500
8765432109,8572792638,23/02/2026 03:59:00,47,IN,352099001761481,404450987654321,404-45-1149-22,BLR_Koramangala_S2,12.935200,77.624500
8765432109,7742651966,23/02/2026 04:26:00,14,IN,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,9012345678,23/02/2026 04:30:00,22,IN,352099001761481,404450987654321,404-45-4402-12,BLR_Majestic_S1,12.976700,77.571300
8765432109,6558264060,23/02/2026 07:24:00,95,OUT,352099001761481,404450987654321,404-45-5518-11,BLR_Electronic_City,12.845200,77.660200
8765432109,9012345678,23/02/2026 07:31:00,210,OUT,352099001761481,404450987654321,404-45-3310-31,BLR_Whitefield_S3,12.969800,77.750000
8765432109,8572792638,23/02/2026 08:04:00,305,IN,352099001761481,404450987654321,404-45-1149-22,BLR_Koramangala_S2,12.935200,77.624500
8765432109,8108615695,23/02/2026 09:55:00,22,IN,352099001761481,404450987654321,404-45-2201-11,BLR_Indiranagar_S1,12.971600,77.641200
8765432109,9921379071,23/02/2026 10:16:00,210,IN,352099001761481,404450987654321,404-45-1149-21,BLR_Koramangala_S1,12.935200,77.624500
8765432109,6274237439,23/02/2026 10:42:00,62,IN,352099001761481,404450987654321,404-45-4402-12,BLR_Majestic_S1,12.976700,77.571300
8765432109,6090073265,23/02/2026 11:01:00,142,IN,352099001761481,404450987654321,404-45-1149-22,BLR_Koramangala_S2,12.935200,77.624500
