IPDR EXTRACT - CONFIDENTIAL
Subscriber,+919876543210
Timestamps,UTC
Generated,05-04-2026

MSISDN,IMEI,IMSI,Private IP,Public IP,Source Port,Destination IP,Dest Port,Start Time,End Time,Uplink Bytes,Downlink Bytes,Cell ID,APN
9876543210,354827094411223,404450123456789,10.63.136.84,100.79.14.208,25700,172.67.191.203,8080,20260314195900,20260314202400,298515,6274239,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.51.218.49,100.79.14.201,34029,142.250.192.14,8080,20260314201200,20260314202800,412181,5357388,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.26.213.241,100.79.14.201,58114,13.107.42.14,443,20260314201700,20260314203200,301381,2991637,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.25.83.117,100.79.14.208,39892,13.107.42.14,443,20260314202700,20260314204000,188138,6347312,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.88.142.127,100.79.14.201,48354,13.107.42.14,80,20260314204700,20260314204800,491685,3116129,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.63.203.206,100.79.14.201,53185,142.250.192.14,80,20260314212500,20260314213800,890265,328943,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.71.225.118,100.79.14.208,57175,172.67.191.203,80,20260314212900,20260314213600,373404,2702628,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.65.46.136,100.79.14.201,59187,104.21.44.18,443,20260314215200,20260314215600,280066,49779,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.61.217.58,100.79.14.201,42994,185.199.108.153,443,20260314223700,20260314224700,25879,4154236,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.76.199.240,100.79.14.208,31623,172.67.191.203,8080,20260314230000,20260314230800,133718,1151673,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.45.215.95,100.79.14.201,22722,104.21.44.18,443,20260314232300,20260314232500,888003,2805455,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.73.18.91,100.79.14.201,,104.21.44.18,443,20260314233700,20260314235600,38199,966822,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.64.200.48,100.79.14.208,25753,142.250.192.14,443,20260314235600,20260315001200,104096,4040410,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.38.75.80,100.79.14.201,28077,185.199.108.153,443,20260315003400,20260315005400,396187,5381524,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.40.34.44,100.79.14.201,28319,172.67.191.203,8080,20260315010900,20260315013200,566466,5320808,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.47.223.122,100.79.14.208,24530,104.21.44.18,80,20260315011800,20260315013600,630053,4289503,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.48.205.176,100.79.14.201,42438,13.107.42.14,443,20260315013000,20260315013200,654001,264129,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.39.130.23,100.79.14.201,55296,142.250.192.14,443,20260315014400,20260315014600,628586,5793968,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.52.133.43,100.79.14.208,28568,185.199.108.153,443,20260315021900,20260315023300,27834,5660216,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.88.67.71,100.79.14.201,46640,185.199.108.153,443,20260315023600,20260315030100,79417,1813143,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.75.203.114,100.79.14.201,32720,104.21.44.18,8080,20260315030500,20260315031400,881617,3689994,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.78.247.18,100.79.14.208,59493,104.21.44.18,443,20260315032100,20260315032800,653892,685593,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.24.164.157,100.79.14.201,23113,142.250.192.14,443,20260315035600,20260315042100,201946,1508776,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.44.232.46,100.79.14.201,,185.199.108.153,443,20260315043900,20260315050200,654350,1497615,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.54.96.117,100.79.14.208,56741,185.199.108.153,443,20260315051600,20260315051900,814151,1849878,404-45-1149-21,jionet
9876543210,354827094411223,404450123456789,10.24.103.173,100.79.14.201,21603,185.199.108.153,443,20260315055900,20260315060000,641912,1668846,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.51.119.107,100.79.14.201,28204,142.250.192.14,80,20260315062800,20260315064300,169765,724935,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.73.112.242,100.79.14.208,60033,104.21.44.18,443,20260315065100,20260315070700,872372,640032,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.22.34.150,100.79.14.201,26764,13.107.42.14,8080,20260315070500,20260315072700,588717,3727474,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.21.232.153,100.79.14.201,26149,185.199.108.153,443,20260315073400,20260315075100,635651,1702131,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.52.167.240,100.79.14.208,58272,104.21.44.18,80,20260315073700,20260315075700,753142,3138812,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.31.137.74,100.79.14.201,26468,185.199.108.153,443,20260315075400,20260315081000,8899,6442692,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.46.139.20,100.79.14.201,29207,13.107.42.14,443,20260315082400,20260315084400,376570,5378864,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.66.141.28,100.79.14.208,51614,142.250.192.14,443,20260315083700,20260315084600,594287,6078285,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.37.7.39,100.79.14.201,20841,142.250.192.14,443,20260315085700,20260315085900,877154,6398798,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.71.144.51,100.79.14.201,42022,185.199.108.153,443,20260315093000,20260315093400,411506,2433472,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.78.2.13,100.79.14.208,36393,104.21.44.18,8080,20260315094600,20260315095300,189120,3886362,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.75.252.4,100.79.14.201,,185.199.108.153,443,20260315095900,20260315101200,535762,95096,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.73.101.218,100.79.14.201,59890,104.21.44.18,443,20260315104200,20260315105700,53073,3721551,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.70.197.16,100.79.14.208,35033,142.250.192.14,80,20260315104300,20260315105200,815888,872477,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.22.158.136,100.79.14.201,21980,13.107.42.14,8080,20260315110200,20260315110600,802805,608376,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.29.128.239,100.79.14.201,31629,142.250.192.14,80,20260315113800,20260315114700,831719,2538523,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.80.55.9,100.79.14.208,41113,13.107.42.14,443,20260315120500,20260315123000,58141,1664036,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.29.61.219,100.79.14.201,39046,142.250.192.14,8080,20260315123300,20260315124800,462607,5960384,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.87.152.238,100.79.14.201,33571,104.21.44.18,443,20260315123500,20260315124400,448014,410715,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.21.117.239,100.79.14.208,36350,104.21.44.18,443,20260315125200,20260315131000,442330,4783077,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.30.149.16,100.79.14.201,56877,13.107.42.14,443,20260315130800,20260315133000,803128,1275476,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.89.86.221,100.79.14.201,35438,104.21.44.18,443,20260315132200,20260315133300,173105,1770338,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.47.189.10,100.79.14.208,41912,104.21.44.18,443,20260315135800,20260315141400,539022,6036958,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.64.15.244,100.79.14.201,23319,185.199.108.153,443,20260315140800,20260315141400,477273,3020160,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.47.86.67,100.79.14.201,38694,13.107.42.14,443,20260315144500,20260315144900,321360,2023128,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.77.86.197,100.79.14.208,,185.199.108.153,8080,20260315151100,20260315151700,767296,2100146,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.32.83.72,100.79.14.201,46232,13.107.42.14,443,20260315152800,20260315154200,638612,5571131,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.64.36.209,100.79.14.201,51054,185.199.108.153,443,20260315153500,20260315154400,829650,6308840,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.46.62.179,100.79.14.208,38430,142.250.192.14,443,20260315155100,20260315160900,114380,6474069,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.37.169.43,100.79.14.201,20826,172.67.191.203,80,20260315163600,20260315165600,188312,1114881,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.70.232.160,100.79.14.201,55295,172.67.191.203,443,20260315165800,20260315171000,232598,1978979,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.30.158.198,100.79.14.208,30509,185.199.108.153,8080,20260315172700,20260315174100,632725,5927478,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.49.83.143,100.79.14.201,57769,172.67.191.203,443,20260315174300,20260315180000,254363,2209144,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.27.199.37,100.79.14.201,49219,172.67.191.203,443,20260315180800,20260315180900,764250,435668,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.63.145.238,100.79.14.208,29972,104.21.44.18,443,20260315183100,20260315183400,888491,587503,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.75.58.63,100.79.14.201,26867,172.67.191.203,443,20260315190400,20260315191700,143975,199759,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.89.171.14,100.79.14.201,45294,13.107.42.14,443,20260315193200,20260315193900,5997,1497581,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.43.88.32,100.79.14.208,34972,185.199.108.153,8080,20260315193400,20260315195900,201487,2843907,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.43.11.140,100.79.14.201,52717,104.21.44.18,443,20260315201600,20260315203900,382063,3898846,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.76.206.150,100.79.14.201,31327,185.199.108.153,8080,20260315203000,20260315203900,741010,4418509,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.29.206.12,100.79.14.208,46707,13.107.42.14,443,20260315211000,20260315213400,327945,1343989,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.42.62.16,100.79.14.201,22668,104.21.44.18,443,20260315211700,20260315212500,717994,671666,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.57.254.59,100.79.14.201,54918,104.21.44.18,443,20260315212000,20260315212500,325156,4389102,404-45-1149-21,jionet
9876543210,358240051111110,404450123456789,10.22.124.74,100.79.14.208,49802,104.21.44.18,443,20260315220500,20260315220600,488522,2606229,404-45-1149-21,jionet
